iter	RMSE
0	1066.282388
1	1027.529619
2	990.3839224
3	956.5609262
4	924.748046
5	895.3140609
6	866.8786232
7	839.3575462
8	814.786278
9	790.8002338
10	767.9595679
11	746.3440749
12	726.0765144
13	707.71647
14	690.0783649
15	673.786072
16	657.9335324
17	643.7037618
18	630.0851808
19	618.5092418
20	606.3032362
21	594.9339333
22	584.5941326
23	575.4742032
24	567.8875244
25	559.1272205
26	551.7733371
27	544.5171142
28	537.4233455
29	531.3261084
30	525.6298374
31	519.2618751
32	513.367674
33	508.0270353
34	502.2457376
35	497.1820005
36	492.7124961
37	488.5083838
38	484.5578368
39	481.1786701
40	477.7664435
41	474.823959
42	471.9870152
43	469.2751673
44	466.1742727
45	463.688778
46	460.5792879
47	458.2165626
48	456.2670401
49	454.3438424
50	451.8966629
51	449.5853452
52	447.9032754
53	445.6896488
54	443.8671799
55	442.056375
56	440.0742243
57	438.6543093
58	436.4322988
59	434.4690788
60	432.790929
61	431.4593836
62	430.1386202
63	428.8761349
64	427.2768072
65	426.0048177
66	424.4530806
67	423.4274897
68	421.7218646
69	420.6128253
70	419.6305636
71	418.7278526
72	417.9812195
73	416.8899653
74	415.5377668
75	414.518574
76	412.8409362
77	411.7463127
78	410.8099031
79	409.8747701
80	408.2456673
81	407.4662846
82	406.6920316
83	405.0593335
84	404.2586814
85	403.5421729
86	402.7293377
87	402.1863311
88	401.6359379
89	400.3580559
90	399.7883255
91	398.4845041
92	397.5128091
93	396.9173411
94	395.5565515
95	394.5213905
96	394.1069187
97	393.3051114
98	392.8660187
99	391.9706036
100	391.1963443
101	390.4038249
102	389.5392529
103	389.1003052
104	388.3251218
105	387.8427934
106	387.3375331
107	386.4938092
108	385.8690722
109	384.6449413
110	384.3014748
111	383.6948868
112	382.4105497
113	381.9959987
114	381.447114
115	380.8399851
116	380.300065
117	379.5196597
118	379.1805071
119	378.449784
120	377.5311203
121	377.0101659
122	376.5387767
123	376.140606
124	375.4291235
125	374.5411569
126	374.1957755
127	373.6884689
128	373.1536346
129	372.5151842
130	372.1453179
131	371.4968784
132	370.9297045
133	370.6439455
134	370.1392008
135	369.921412
136	369.5141977
137	369.1720756
138	368.8157969
139	368.4161959
140	368.0727084
141	367.7727165
142	367.4753916
143	367.1645378
144	366.7044498
145	366.3576387
146	365.8959632
147	365.6929518
148	365.2488056
149	364.8919419
150	364.5850547
151	364.1748165
152	363.8256474
153	363.3965551
154	363.024578
155	362.5619415
156	362.1440512
157	361.5781338
158	361.3464291
159	360.8555304
160	360.5975474
161	360.2736082
162	360.0273765
163	359.7259967
164	359.2753317
165	358.6640891
166	357.9861262
167	357.629386
168	357.2326354
169	356.8672188
170	356.4869412
171	356.2321935
172	356.0335608
173	355.7277236
174	355.3939776
175	355.1810507
176	354.891649
177	354.4918679
178	354.2393706
179	353.8013754
180	353.5894973
181	353.1755893
182	353.0255897
183	352.7435666
184	352.3371385
185	351.8835289
186	351.6229773
187	351.3208881
188	350.9651024
189	350.7785294
190	350.5035874
191	350.194784
192	349.7733295
193	349.3858099
194	349.0314644
195	348.6547982
196	348.4549926
197	348.2411468
198	348.0670388
199	347.6635439
200	347.4041529
201	347.1392991
202	346.8840246
203	346.3632613
204	346.0563616
205	345.509267
206	345.2116826
207	345.0307838
208	344.9070075
209	344.7299265
210	344.5102574
211	344.2527707
212	344.0895833
213	343.7656634
214	343.4416313
215	343.209589
216	342.9425649
217	342.7483786
218	342.4372666
219	342.1841228
220	342.0469838
221	341.6265838
222	341.276131
223	341.0239187
224	340.6348723
225	340.4300535
226	340.2404259
227	339.9180576
228	339.7221638
229	339.3607148
230	339.2032977
231	338.9072712
232	338.7289636
233	337.6813008
234	337.2582996
235	337.0611395
236	336.9098928
237	336.7262903
238	336.53784
239	336.3320607
240	336.0700481
241	335.8403258
242	335.6529999
243	335.151499
244	334.978966
245	334.8783687
246	334.6555005
247	334.5017017
248	334.1429127
249	333.6432493
250	333.3259145
251	333.209866
252	333.0666879
253	332.9048953
254	332.4529065
255	332.3038675
256	331.8760653
257	331.7241427
258	331.6180596
259	331.2316701
260	331.0559172
261	330.7491717
262	330.5455283
263	330.3091853
264	330.1438748
265	329.8424378
266	329.7212173
267	329.4908044
268	329.3150142
269	329.070879
270	328.8593228
271	328.1649698
272	327.8802467
273	327.6318823
274	327.4808284
275	327.1656549
276	326.5875767
277	326.3753587
278	326.1075049
279	325.9427127
280	325.5781847
281	325.4597404
282	325.2819771
283	325.1739386
284	325.0287205
285	324.8200726
286	324.6340293
287	324.456185
288	324.3307338
289	324.1698373
290	323.9492753
291	323.6751631
292	323.4923975
293	323.3377001
294	323.1478539
295	322.9760031
296	322.7993032
297	322.4883671
298	322.3639978
299	322.2307255
300	322.0337203
301	321.7014639
302	321.5285556
303	321.3759845
304	321.220498
305	321.0192871
306	320.9089601
307	320.7221715
308	320.6102155
309	320.2976694
310	319.7900455
311	319.5514106
312	319.3817215
313	319.2093276
314	318.9421068
315	318.7723734
316	318.6082644
317	318.4770327
318	318.3720208
319	318.2436274
320	318.1526738
321	317.947334
322	317.7169778
323	317.6054723
324	317.4761248
325	317.2770381
326	317.1271004
327	316.9438156
328	316.6109812
329	316.5242246
330	316.3641703
331	316.2109856
332	316.0472077
333	315.9841895
334	315.6927753
335	315.4932428
336	315.3589052
337	315.1572422
338	314.8206646
339	314.7524963
340	314.2970256
341	314.2139375
342	313.9430798
343	313.7645571
344	313.6279804
345	313.512455
346	313.2158929
347	313.0402659
348	312.9555636
349	312.8268713
350	312.6791604
351	312.4862784
352	312.3355097
353	312.0999281
354	311.9620212
355	311.6656401
356	311.4501597
357	311.3115627
358	311.0669616
359	310.9437588
360	310.8063042
361	310.6828297
362	310.6035988
363	310.3337269
364	310.0337895
365	309.8734086
366	309.7619002
367	309.5949623
368	309.501426
369	309.3547847
370	309.0566846
371	308.9515903
372	308.8466723
373	308.7186841
374	308.4029207
375	308.3046912
376	308.1851127
377	308.0434882
378	307.9192838
379	307.6442884
380	307.4988426
381	307.389745
382	307.0349526
383	306.9100934
384	306.7727096
385	306.6409885
386	306.3151757
387	306.1545678
388	306.0511094
389	305.9558013
390	305.7541609
391	305.623916
392	305.5070894
393	305.4029453
394	305.1788011
395	305.0423991
396	304.8772362
397	304.7668206
398	304.7031439
399	304.6206625
400	304.3100891
401	304.1085201
402	304.0472456
403	303.953026
404	303.8497688
405	303.7414021
406	303.595034
407	303.5047478
408	303.3212052
409	303.2277858
410	302.8782183
411	302.7965071
412	302.6858185
413	302.6039023
414	302.4231579
415	302.3276088
416	302.043653
417	301.9695232
418	301.8874341
419	301.7566984
420	301.6176816
421	301.4840121
422	301.3814976
423	301.3083927
424	301.1781803
425	301.0825863
426	300.9002745
427	300.8043239
428	300.6445825
429	300.5932652
430	300.4844987
431	300.3193308
432	300.0895838
433	299.9234242
434	299.8473333
435	299.7346422
436	299.6421585
437	299.4052558
438	299.3418411
439	299.2708481
440	299.1312538
441	298.9556866
442	298.8515686
443	298.7606277
444	298.6032361
445	298.5093628
446	298.2590873
447	298.1620627
448	298.0122421
449	297.9316491
450	297.7306809
451	297.6429548
452	297.5842284
453	297.4276541
454	297.3396819
455	297.1460368
456	297.0284451
457	296.9031376
458	296.8134925
459	296.6856029
460	296.5643802
461	296.4415504
462	296.3699607
463	296.1312119
464	296.0234104
465	295.8785312
466	295.7832329
467	295.6566333
468	295.5291271
469	295.3621988
470	295.2779612
471	295.2263928
472	295.1704866
473	295.0732253
474	294.9736733
475	294.8978718
476	294.7724884
477	294.6002664
478	294.5204498
479	294.4011927
480	294.3425923
481	294.2107597
482	294.0358795
483	293.882394
484	293.8387014
485	293.7392455
486	293.6722477
487	293.6009725
488	293.5117461
489	293.4453309
490	293.335334
491	293.2522433
492	293.1005748
493	292.9763098
494	292.8802158
495	292.8029386
496	292.5227516
497	292.4052132
498	292.3237027
499	292.252136
500	292.0972552
501	291.9855849
502	291.9194097
503	291.8391459
504	291.756926
505	291.6744489
506	291.5551163
507	291.4769193
508	291.4080706
509	291.3392674
510	291.2419363
511	291.2013928
512	291.0999209
513	290.9559867
514	290.7777227
515	290.5613082
516	290.4693774
517	290.3786657
518	290.286316
519	290.1694672
520	290.1089318
521	289.9957091
522	289.8548277
523	289.7633558
524	289.5673219
525	289.4202122
526	289.3412896
527	289.1000068
528	288.9544416
529	288.8741794
530	288.8038121
531	288.7258915
532	288.6483803
533	288.5851776
534	288.3711426
535	288.238008
536	288.1816996
537	287.9467495
538	287.8927603
539	287.7734882
540	287.6732046
541	287.5158291
542	287.3795815
543	287.3165494
544	287.1207322
545	286.9671337
546	286.8936881
547	286.7485826
548	286.689288
549	286.5711415
550	286.4813197
551	286.4088027
552	286.2208988
553	286.104331
554	286.045869
555	285.9817594
556	285.9196756
557	285.8119101
558	285.7008699
559	285.5645763
