iter	Passed	Remaining
0	5	5440
1	10	5025
2	14	4857
3	18	4622
4	22	4519
5	28	4677
6	31	4533
7	36	4518
8	40	4503
9	45	4466
10	49	4423
11	52	4354
12	58	4454
13	63	4459
14	73	4842
15	78	4839
16	84	4906
17	91	5006
18	97	5056
19	104	5108
20	108	5047
21	111	4968
22	116	4934
23	119	4874
24	124	4864
25	129	4839
26	136	4919
27	141	4911
28	145	4873
29	149	4845
30	153	4795
31	157	4772
32	162	4770
33	166	4737
34	171	4720
35	175	4705
36	180	4694
37	184	4670
38	188	4642
39	192	4620
40	196	4602
41	200	4574
42	204	4551
43	209	4544
44	212	4517
45	217	4505
46	221	4481
47	224	4454
48	229	4449
49	232	4423
50	237	4410
51	240	4390
52	244	4367
53	248	4346
54	268	4617
55	272	4594
56	276	4576
57	280	4559
58	286	4572
59	291	4562
60	294	4539
61	298	4521
62	302	4502
63	306	4479
64	310	4461
65	314	4447
66	318	4431
67	322	4417
68	326	4400
69	330	4387
70	333	4367
71	337	4353
72	341	4330
73	345	4318
74	348	4300
75	351	4278
76	355	4260
77	359	4243
78	362	4231
79	366	4213
80	370	4203
81	374	4188
82	377	4174
83	381	4160
84	385	4146
85	389	4135
86	392	4117
87	395	4103
88	399	4086
89	402	4074
90	406	4058
91	409	4043
92	413	4030
93	417	4019
94	420	4003
95	424	3992
96	427	3977
97	430	3965
98	434	3952
99	437	3941
100	441	3930
101	445	3918
102	449	3910
103	452	3900
104	456	3891
105	459	3877
106	463	3868
107	466	3855
108	470	3842
109	473	3829
110	476	3819
111	480	3808
112	484	3802
113	488	3799
114	492	3787
115	496	3782
116	499	3770
117	503	3762
118	507	3755
119	511	3747
120	514	3739
121	518	3734
122	523	3730
123	526	3720
124	530	3713
125	534	3705
126	537	3697
127	541	3689
128	544	3679
129	548	3672
130	552	3663
131	556	3657
132	559	3649
133	563	3643
134	569	3646
135	572	3639
136	577	3636
137	580	3628
138	585	3626
139	589	3622
140	593	3613
141	597	3610
142	601	3602
143	604	3594
144	608	3587
145	612	3580
146	616	3576
147	619	3566
148	623	3561
149	627	3553
150	631	3548
151	634	3542
152	638	3536
153	643	3533
154	646	3525
155	651	3522
156	654	3514
157	658	3507
158	661	3501
159	665	3494
160	669	3488
161	672	3479
162	677	3479
163	682	3481
164	686	3475
165	690	3470
166	694	3462
167	697	3455
168	701	3448
169	705	3442
170	708	3437
